is_no,title,status,technical_committee,amendments,reaffirmed_year,price_in_india,price_outside_india,description,preview_url,preview_id
IS 1383 : 2023,Methods For Determination Of Scouring Loss In Grey And Finished Cotton Textile Materials Second Revision Of Is 1383,Active,TXD 5,0,,N/A,N/A,"IS 1383 : 2023 Methods for Determination of Scouring Loss in Grey and Finished Cotton Textile Materials ICS 59.060.10 TXD 05 1 SCOPE 1.1 This standard prescribes two methods for determining the scouring loss (loss in mass on scouring) of grey and finished cotton textile materials. 1.2 The methods prescribed in this standard are generally applicable to grey and finished cotton textile materials wherein only starch or tamarind kernel powder or both, and water-soluble or easily removable finishing agents, such as oils, fats, and china clay, have been used and which would normally be removed during the scouring process. 2 REFERENCES The standards given below contain provisions which through reference in this text, constitute provision of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent edition of the standards: IS No. Title IS 1070 : 2023 Reagent grade water - Specification (fourth revision) | IS 1383 : 2023 Methods for Determination of Scouring Loss in Grey and Finished Cotton Textile Materials | 1.1 This standard prescribes two methods for determining the scouring loss (loss in mass on scouring) of grey and finished cotton textile materials. | 1.2 The methods prescribed in this standard are generally applicable to grey and finished cotton textile materials wherein only starch or tamarind kernel powder or both, and water-soluble or easily removable finishing agents, such as oils, fats, and china clay, have been used and which would normally be removed during the scouring process. | The standards given below contain provisions which through reference in this text, constitute provision of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent edition of the standards:",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1383_2023,1383_2023
IS 16501 : Part 1 : 2020 ( IEC TR 62061-1 : 2010),Guidance on the Application of IS 16810 (Part 1)/ISO 13849-1 and IS 16501/IEC 62061 in the Design of Safety-Related Control Systems for Machinery,withdrawn,ETD 44,0,,N/A,N/A,IS 16501 : Part 1 : 2020/IEC/TR 62061-1 : 2010 Guidance on the Application of IS 16810 (Part 1)/ISO 13849-1 and IS 16501/IEC 62061 in the Design of Safety-Related Control Systems for Machinery | New Standard from Last Update.,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=16501_1,16501_1
IS/ISO/TR 22100 : Part 2 : 2013 ( ISO TR 22100-2:2013),Safety of machinery  Relationship with ISO 12100   Part 2: How ISO 12100 relates to ISO 13849-1   Adoption of ISOTR 22100-2 : 2013,Active,MED 40,0,,₹ 180.00,"₹ 1,800.00",,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=iotr22100_2,iotr22100_2
IS 141 : 1950,"Ready mixed paint, spraying, petrol resisting, air drying, for exterior painting of containers, colours as required (incorporated in IS 140)",withdrawn,CHD 20,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=141,141
IS/ISO 14002 : Part 1 : 2019 ( ISO 14002-1 : 2019),Environmental Management Systems - Guidelines for Using ISO 14001 to Address Environmental Aspects and Conditions within an Environmental Topic Area - Part 1 General,Active,EED 01,0,,₹ 370.00,"₹ 3,700.00","IS/ISO 14002 : Part 1 : 2019 Environmental Management Systems - Guidelines for Using ISO 14001 to Address Environmental Aspects and Conditions within an Environmental Topic Area - Part 1 General | This Indian Standard is published in two parts as adoption of corresponding parts of ISO 14002 Environmental management systems - Guidelines for using ISO 14001 to address environmental aspects and conditions within an environmental topic area. The other part in this series is: | The ISO 14002 series provides guidance that is targeted toward specific types of interrelated environmental aspects and environmental conditions. The benefits of applying the ISO 14002 series can include: | a) Enhancing environmental performance within specific environmental topic areas; | b) Protecting the environment by preventing or mitigating adverse environmental impacts within specific environmental topic areas; | c) Mitigating the potential adverse effect of environmental conditions on the organization within specific environmental topic areas; and | d) Aligning the environmental management system with the organization's strategic direction, for example, to support a specific environmental policy or organizational commitment. | The text of ISO standard has been approved as suitable for publication as an Indian Standard without deviations. Certain conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following:",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=io14002_1_2019,io14002_1_2019
IS/ISO 14002 : Part 2 : 2023 ( ISO 14002-2 : 2023),Environmental Management Systems - Guidelines for Using ISO 14001 to Address Environmental Aspects and Conditions within an Environmental Topic Area - Part 2 Water,Active,EED 01,0,,₹ 680.00,"₹ 6,800.00","IS/ISO 14002 : Part 2 : 2023 Environmental Management Systems - Guidelines for Using ISO 14001 to Address Environmental Aspects and Conditions within an Environmental Topic Area - Part 2 Water | ICS 03.100.70; 13.020.10; 13.060.01 | This Indian Standard is published in two parts as adoption of corresponding parts of ISO 14002 under the general title 'Environmental management systems - Guidelines for using ISO 14001 to address environmental aspects and conditions within an environmental topic area'. | The other part in this series is: | The text of ISO standard has been approved as suitable for publication as an Indian Standard without deviations. Certain conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: | a) Wherever the words 'International Standard' appears referring to this standard, they should be read as 'Indian Standard'; and | b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=io14002_2_2023,io14002_2_2023
IS/ISO/TR 14047 : 2012 ( ISO/TR 14047: 2012),Environmental Management Life Cycle Assessment Illustrative Examples On How To Apply Isiso 14044 To Impact Assessment Situations,Active,CHD 34,0,,"₹ 1,070.00","₹ 10,700.00","The heightened awareness of the importance of environmental protection and the possible environmental significance of a product system, have increased the interest in development of methods to better understand this significance. One of the techniques being developed for this purpose is Life Cycle Assessment (LCA). The requirements and guidelines for LCA are covered in IS/ISO 14044.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=iotr14047_2012,iotr14047_2012
IS/ISO/TR 14049 : 2012 ( ISO/TR 14049: 2012),Environmental Management Life Cycle Assessment Illustrative Examples On How To Apply Isiso 14044 To Goal And Scope Definition And Inventory Analysis,Active,CHD 34,0,,₹ 770.00,"₹ 7,700.00","The heightened awareness of the importance of environmental protection, and the possible impacts associated with products manufactured and consumed, has increased the interest in the development of methods to better comprehend and reduce these impacts. One of the techniques being developed for this purpose is Life Cycle Assessment (LCA). The requirements and guidelines for LCA are covered in IS/ISO 14044. This document further provides supplemental information to IS/ISO 14044 : 2006, based on several examples on key areas of IS/ISO 14044 in order to enhance the understanding of the requirements of IS/ISO 14044.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=iotr14049_2012,iotr14049_2012
IS/ISO 15392 : 2019 ( ISO 15392 :2019),Sustainability in Building and Civil Engineering Works ? General Principles (Adoption of ISO 15392:2019),Active,CED 58,0,,₹ 430.00,"₹ 4,300.00","This Indian Standard was originally published in 2014 which was identical with ISO 15392 : 2008 'Sustainability in building construction - General principle'. The first revision of this standard has been undertaken to align it with the latest version of ISO 15932 : 2019. The text of ISO Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words 'International Standard' appear referring to this standard, they should be read as 'Indian Standard'. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | The text of ISO Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words 'International Standard' appear referring to this standard, they should be read as 'Indian Standard'. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | a) Wherever the words 'International Standard' appear referring to this standard, they should be read as 'Indian Standard'. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=io15392_2019,io15392_2019
IS/ISO 14064 : PART 2 : 2019 ( ISO 14064-2:2019),IS/ISO 14064-2 : 2019 GREENHOUSE GASES  PART 2 SPECIFICATION WITH GUIDANCE AT THE  PROJECT LEVEL FOR QUANTIFICATION MONITORING AND REPORTING OF GREENHOUSE GAS EMISSION REDUCTIONS OR REMOVAL ENHANCEMENTS First Revision,Active,CHD 34,0,2024,₹ 520.00,"₹ 5,200.00",This standard was originally published in 2009 by adoption of ISO 14064-2 : 2006. The first revision of this standard has been undertaken to align it with the latest version of ISO 14064-2 : 2019. The major changes in this revision as compared to the previous edition are as follows: a) The concept of additionality and the baseline scenario have been changed; and b) Text related to the Kyoto mechanism has been deleted. | The major changes in this revision as compared to the previous edition are as follows: a) The concept of additionality and the baseline scenario have been changed; and b) Text related to the Kyoto mechanism has been deleted. | a) The concept of additionality and the baseline scenario have been changed; and b) Text related to the Kyoto mechanism has been deleted. | b) Text related to the Kyoto mechanism has been deleted.,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=io14064_2_2019_reaff2024,io14064_2_2019_reaff2024
IS 15885 : PART 2 : SEC 9 : 2011,Safety Of Lamp Controlgear Part 2 Particular Requirements Section 9 Ballasts For Discharge Lamps (excluding Fluorescent Lamps) Ics 29.140.99,Active,ETD 23,0,2016,N/A,N/A,IS 15885 : PART 2 : SEC 9 : 2011 : Safety Of Lamp Controlgear--Part 2 Particular Requirements--Section 9 Ballasts For Discharge Lamps (excluding Fluorescent Lamps)--Ics 29.140.99 ETD 23 Reaffirmed 2016,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=15885_2_9,15885_2_9
"IS 18446 : Part 1 : 2023 ( ISO 11140-1 : 2014, MOD)","Sterilization of Health Care Products-Chemical Indicators - Part 1 General Requirements - (ISO 11140-1 : 2014, MOD)",Active,MHD 12,0,,₹ 680.00,"₹ 6,800.00","IS 18446 : Part 1 : 2023 Sterilization of Health Care Products - Chemical Indicators - Part 1 General Requirements (ISO 11140-1 : 2014, MOD) | The text of ISO standard has been approved as suitable for publication as an Indian Standard without deviations. Certain conventions are however not identical to those used in Indian Standards. Attention is particularly drawn to the following: | a) Wherever the words 'International Standard' appear referring to this standard, they should be read as 'Indian Standard'; and | b) Comma (,) has been used as a decimal marker while in Indian Standards, the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=18446_1_2023,18446_1_2023
"IS 18814 : 2024 ( ISO 14063 : 2020, MOD)","Environmental Management - Environmental Communication - Guidelines and Examples (ISO 14063 : 2020, MOD)",Active,CHD 34,0,,₹ 520.00,"₹ 5,200.00","IS 18814 : 2024 Environmental Management - Environmental Communication - Guidelines and Examples (ISO 14063 : 2020, MOD) ICS 13.020.10 CHD 34 1 SCOPE 1.1 This Indian Standard gives guidelines to organizations for general principles, policy, strategy and activities relating to both internal and external environmental communication. It uses proven and well-established approaches for communication, adapted to the specific conditions that exist in environmental communication. 1.2 It is applicable to all organizations regardless of their size, type, location, structure, activities, products and services, and whether or not they have an environmental management system in place. 1.3 It can be used in combination with any of the IS/ISO 14000 family of standards, or on its own. NOTE - IS 16555 (Mod. ISO 14021), IS/ISO 14024, and IS/ISO 14025 provide specific environmental communication tools and guidance relating to product labels and declarations. | IS 18814 : 2024 Environmental Management - Environmental Communication - Guidelines and Examples (ISO 14063 : 2020, MOD) | 1.1 This Indian Standard gives guidelines to organizations for general principles, policy, strategy and activities relating to both internal and external environmental communication. It uses proven and well-established approaches for communication, adapted to the specific conditions that exist in environmental communication. | 1.2 It is applicable to all organizations regardless of their size, type, location, structure, activities, products and services, and whether or not they have an environmental management system in place. | 1.3 It can be used in combination with any of the IS/ISO 14000 family of standards, or on its own. | NOTE - IS 16555 (Mod. ISO 14021), IS/ISO 14024, and IS/ISO 14025 provide specific environmental communication tools and guidance relating to product labels and declarations.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=18814_2024,18814_2024
IS 138 : 2018,"Ready Mixed Paint, Marking, for Packages and Petrol Containers — Specification ( Fourth Revision )",Active,CHD 20,0,,N/A,N/A,"IS 138 : 2018 Ready Mixed Paint, Marking, for Packages and Petrol Containers - Specification ICS 87.040 CHD 20 Revised Standard from Last Update. 1 Scope 1.1 This standard prescribes requirements and methods ofsampling and test for ready mixed paint, marking for packages andpetrol containers, colour as required. 1.1.1 The material is used for distinctive lettering and markingof ammunition and ammunition packages and of containers andpackages by brushing, spraying, or stenciling. The material is notintended for application by silk screen stenciling. 2 References The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | Revised Standard from Last Update. 1 Scope 1.1 This standard prescribes requirements and methods ofsampling and test for ready mixed paint, marking for packages andpetrol containers, colour as required. 1.1.1 The material is used for distinctive lettering and markingof ammunition and ammunition packages and of containers andpackages by brushing, spraying, or stenciling. The material is notintended for application by silk screen stenciling. 2 References The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | 1 Scope 1.1 This standard prescribes requirements and methods ofsampling and test for ready mixed paint, marking for packages andpetrol containers, colour as required. 1.1.1 The material is used for distinctive lettering and markingof ammunition and ammunition packages and of containers andpackages by brushing, spraying, or stenciling. The material is notintended for application by silk screen stenciling. 2 References The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | 1.1 This standard prescribes requirements and methods ofsampling and test for ready mixed paint, marking for packages andpetrol containers, colour as required. 1.1.1 The material is used for distinctive lettering and markingof ammunition and ammunition packages and of containers andpackages by brushing, spraying, or stenciling. The material is notintended for application by silk screen stenciling. 2 References The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | 1.1.1 The material is used for distinctive lettering and markingof ammunition and ammunition packages and of containers andpackages by brushing, spraying, or stenciling. The material is notintended for application by silk screen stenciling. 2 References The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | 2 References The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=138,138
IS 1380 : 2024,"Ink, Finger Printing, Black-Specification",Active,CHD 14,0,,N/A,N/A,"IS 1380 : 2024 Ink, Finger Printing, Black - Specification ICS 87.080 CHD 14 1 SCOPE This standard prescribes requirements and methods of sampling and test for black finger printing ink used for taking impressions of fingers, thumbs and palms for the purpose of identification of persons. 2 REFERENCES The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision, and parties to agreements based on this Indian Standard are encouraged to investigate the possibility of applying the most recent edition of these standards. IS No. Title IS 40 : 2021 Carbon black for paints - Specification (second revision) IS 101 (Part 1/Sec 1) : 2023 Methods of sampling and test for paints, varnishes and related products: Part 1 Tests on liquid paints (general and physical), Section 1 Sampling (fourth revision) IS 1745 : 2018 Petroleum hydrocarbon solvents - Specification (third revision) IS 1848 (Part 1) : 2018 Writing and printing papers - Specification: Part 1 Account book, azure lead, bond, cream laid and cream wove/printing white/printing coloured/printing offset, printing maplitho, printing white super calendered and typewriting types (fifth revision) IS 3101 : 1995 Aluminium collapsible tubes - Specification (second revision) IS 4658 : 2019 Specification for coated paper and board (art and chromo) (second revision) IS 4905 : 2015/ISO 24153 : 2009 Random sampling and randomization procedures (first revision) IS 5717 : 2003 Laboratory glassware - Pyknometers (second revision) | IS 1380 : 2024 Ink, Finger Printing, Black - Specification | This standard prescribes requirements and methods of sampling and test for black finger printing ink used for taking impressions of fingers, thumbs and palms for the purpose of identification of persons. | The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision, and parties to agreements based on this Indian Standard are encouraged to investigate the possibility of applying the most recent edition of these standards.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1380_2024,1380_2024
IS 13800 : 2026,Shoe Sizes - Method of Marking,Active,CHD 19,0,,N/A,N/A,"IS 13800 : 2026 Shoe Sizes - Method of Marking ICS 61.060 CHD 19 1 SCOPE 1.1 This standard prescribes method of marking of shoes and boots with their sizes in mondopoint system based on length grading only. 1.2 It applies to all types of boots and shoes without any restriction. 2 REFERENCE The standard given below contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision, and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent edition of this standard. IS No. Title IS 8751 (Part 1) : 1978 Footwear sizes in mondopoint system: Part 1 fundamental characteristics | IS 13800 : 2026 Shoe Sizes - Method of Marking | 1.1 This standard prescribes method of marking of shoes and boots with their sizes in mondopoint system based on length grading only. | 1.2 It applies to all types of boots and shoes without any restriction. | The standard given below contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision, and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent edition of this standard.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=13800_2026,13800_2026
IS 13800 - (Active) : 1993,Shoe Sizes - Method of Marking - (Vaild upto 18 August 2026),Active,CHD 19,0,2022,N/A,N/A,IS 13800 : 1993 Shoe sizes - Method of marking UDC 685.31.052.2 CHD 19 Reaffirmed 2022 1 Scope This standard prescribes method of marking of shoes and bootswith their sizes in Mondopoint system based on length grading only. It applies to all types of boots and shoes without anyrestriction. 2 Reference IS 8751 : Part 1 :1978 Footwear sizes in Mondopoint system:Part 1 Fundamental characteristics | 1 Scope This standard prescribes method of marking of shoes and bootswith their sizes in Mondopoint system based on length grading only. It applies to all types of boots and shoes without anyrestriction. 2 Reference IS 8751 : Part 1 :1978 Footwear sizes in Mondopoint system:Part 1 Fundamental characteristics | This standard prescribes method of marking of shoes and bootswith their sizes in Mondopoint system based on length grading only. It applies to all types of boots and shoes without anyrestriction. 2 Reference IS 8751 : Part 1 :1978 Footwear sizes in Mondopoint system:Part 1 Fundamental characteristics | It applies to all types of boots and shoes without anyrestriction. 2 Reference IS 8751 : Part 1 :1978 Footwear sizes in Mondopoint system:Part 1 Fundamental characteristics | 2 Reference IS 8751 : Part 1 :1978 Footwear sizes in Mondopoint system:Part 1 Fundamental characteristics | IS 8751 : Part 1 :1978 Footwear sizes in Mondopoint system:Part 1 Fundamental characteristics,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=13800_1993_reff2022,13800_1993_reff2022
IS 13801 : 2013,Chequered Cement Concrete Tiles -,Active,CED 5,0,2018,N/A,N/A,"IS 13801 : 2013 CHEQUERED CEMENT CONCRETE TILES — SPECIFICATION ICS 91.100.30 CED 5 Reaffirmed 2018 1. Scope This standard covers chequered cement concrete flooring tiles of plain, coloured and terrazo types. 2. References The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | ICS 91.100.30 CED 5 Reaffirmed 2018 1. Scope This standard covers chequered cement concrete flooring tiles of plain, coloured and terrazo types. 2. References The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | Reaffirmed 2018 1. Scope This standard covers chequered cement concrete flooring tiles of plain, coloured and terrazo types. 2. References The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | 1. Scope This standard covers chequered cement concrete flooring tiles of plain, coloured and terrazo types. 2. References The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | This standard covers chequered cement concrete flooring tiles of plain, coloured and terrazo types. 2. References The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | 2. References The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A. | The standards listed in Annex A contain provisions which through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated in Annex A.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=13801,13801
IS 933 : 1989,Portable chemical foam fire extinguisher,withdrawn,CED 22,0,1995,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=933,933
IS 934 : 1989,Portable fire extinguisher water type (soda acid),withdrawn,CED 22,0,1995,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=934,934
IS 935 : 1967,"Portable chemical fire extinguisher, carbon tetrachloride type",withdrawn,CED 22,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=935,935
IS 940 : 2003,"Specification for Portable Fire Extinguisher, Water Type (Gas Cartridge) -",withdrawn,CED 22,3,2008,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=940,940
IS 1924 : 1973,"Portable fire extinguisher, water type (pocket pump)",withdrawn,CED 22,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1924,1924
IS 1933 : 1961,Portable chemical fire extinguisher chloro bromomethane type,withdrawn,CED 22,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1933,1933
IS 74 : 1979,Methods of Sampling and Test for Drying Oils for Paints,Active,CHD 21,0,2017,N/A,N/A,IS 74 : 1979 METHODS OF SAMPLING AND TEST FOR DRYING OILS FOR PAINTS UDC 667.629.3 : 620.11 CHD 20 Reaffirmed 2017 1. Scope 1.1 This standard prescribes methods of sampling and test for dryini: oils for paints. | UDC 667.629.3 : 620.11 CHD 20 Reaffirmed 2017 1. Scope 1.1 This standard prescribes methods of sampling and test for dryini: oils for paints. | Reaffirmed 2017 1. Scope 1.1 This standard prescribes methods of sampling and test for dryini: oils for paints. | 1. Scope 1.1 This standard prescribes methods of sampling and test for dryini: oils for paints. | 1.1 This standard prescribes methods of sampling and test for dryini: oils for paints.,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=74,74
IS 76 : 1950,"Linseed Oil, Refined, For Paints",withdrawn,CHD 20,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=76,76
IS 77 : 1976,"Linseed Oil, Boiled, for Paints",Active,CHD 21,0,2024,N/A,N/A,"IS 77 : 1976 Specification for Linseed Oil, Boiled, for Paints UDC 667.621.52 : 665.345.4 CHD 21 Reaffirmed 2024 1 Scope 1.1 This standard prescribes requirements and methods ofsampling and test for linseed oil, boiled, for paints. Apart frompaint industry and other allied applications, it is also used asfoundry core oil. 2 References IS 2 :1960 Rules for rounding offnumerical values IS 74 :1966 Methods of sampling and testfor drying oils for paints IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | 1 Scope 1.1 This standard prescribes requirements and methods ofsampling and test for linseed oil, boiled, for paints. Apart frompaint industry and other allied applications, it is also used asfoundry core oil. 2 References IS 2 :1960 Rules for rounding offnumerical values IS 74 :1966 Methods of sampling and testfor drying oils for paints IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | 1.1 This standard prescribes requirements and methods ofsampling and test for linseed oil, boiled, for paints. Apart frompaint industry and other allied applications, it is also used asfoundry core oil. 2 References IS 2 :1960 Rules for rounding offnumerical values IS 74 :1966 Methods of sampling and testfor drying oils for paints IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | 2 References IS 2 :1960 Rules for rounding offnumerical values IS 74 :1966 Methods of sampling and testfor drying oils for paints IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | IS 2 :1960 Rules for rounding offnumerical values IS 74 :1966 Methods of sampling and testfor drying oils for paints IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | IS 74 :1966 Methods of sampling and testfor drying oils for paints IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | IS 75 :1973 Specification for linseed oil,raw and refined IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents | IS 78 :1950 Specification for linseed oil,Pale boiled, for paints IS 266 : 1961 Specification for sulphuric acid IS 1070 : 1960 Specification for water, distilled quality IS 1745 : 1966 Specification for petroleum hydrocarbon solvents",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=77_1976_reaff2024,77_1976_reaff2024
IS 78 : 1950,"Linseed oil, pale boiled, for paints",withdrawn,CHD 20,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=78,78
